district,year,grdp,basic_beneficiaries,multicultural_hh,population,divorce,child_facility,child_user,single_parent,birth_cnt,academy_cnt
종로구,2015,26762944,3540,1331,11008,276,12,305,480,906,115.1
중구,2015,54594969,3916,1156,7818,267,5,169,417,950,72.7
용산구,2015,12981760,5696,2110,17997,424,6,163,728,1967,79.2
성동구,2015,10728559,7125,1985,21972,563,12,344,1011,2753,107.8
광진구,2015,6343138,7332,2586,27104,651,17,496,1511,2951,123.6
동대문구,2015,7847523,11234,2214,26063,714,13,374,1515,2687,104.8
중랑구,2015,4108513,14364,2232,29278,1028,25,668,2730,3368,85.6
성북구,2015,5580652,12050,2093,39386,823,27,835,1798,3514,93.4
강북구,2015,2953193,13565,1875,23888,738,22,507,2568,2164,84.3
도봉구,2015,3182015,9292,1325,27944,728,18,520,1978,2481,102.6
노원구,2015,5854150,23942,1830,54000,984,16,365,3075,4462,96.6
은평구,2015,4433678,14685,2455,41148,948,28,768,2622,3870,96.2
서대문구,2015,7267605,6822,1565,23682,528,7,204,1245,2175,108.7
마포구,2015,17526249,7343,2020,31283,613,11,376,1132,3626,171.3
양천구,2015,6372503,9924,2337,48458,775,23,644,1837,3526,166.0
강서구,2015,11557953,19451,3230,47853,1118,18,396,2805,5812,114.6
구로구,2015,12740357,7933,6290,34751,817,21,537,1460,4257,95.6
금천구,2015,14844236,9129,3829,16587,557,26,854,1575,1885,99.0
영등포구,2015,30683968,8034,6752,27884,726,15,422,890,3611,143.5
동작구,2015,5669751,6659,2419,30091,632,24,554,1268,3643,127.6
관악구,2015,5232052,11800,4296,32026,896,29,907,1830,3960,111.6
서초구,2015,30023717,4514,1537,45105,597,5,114,787,4078,240.4
강남구,2015,68735259,10704,1877,50933,852,2,57,1278,4595,334.8
송파구,2015,23003743,8571,2608,59655,1069,15,397,1783,5899,150.2
강동구,2015,7789618,8955,2061,38269,852,19,511,1589,3865,150.9
종로구,2016,30154311,3517,1146,10475,260,12,301,454,846,130.7
중구,2016,55017722,3866,1205,7621,249,5,160,409,959,79.8
용산구,2016,13812415,5712,2101,17406,441,6,146,732,1708,83.9
성동구,2016,11696824,7100,2111,21560,547,12,327,970,2531,114.7
광진구,2016,6722894,7503,2930,26148,649,17,455,1515,2767,125.6
동대문구,2016,8291459,11345,2443,25005,666,13,383,1488,2383,112.6
중랑구,2016,4323488,14703,2457,28238,933,25,655,2670,3085,93.9
성북구,2016,5784772,12386,2173,37911,833,26,780,1823,3060,100.7
강북구,2016,3077197,15039,1929,22846,722,22,487,2492,1965,91.9
도봉구,2016,3318462,10069,1352,26716,670,18,552,2028,2249,111.3
노원구,2016,6101772,24088,1849,51277,955,18,449,3064,4176,104.1
은평구,2016,4601404,15333,2509,39537,947,27,805,2555,3522,91.4
서대문구,2016,7885982,7089,1632,23216,532,8,221,1295,2201,129.6
마포구,2016,18415850,7378,2066,29997,636,11,329,1092,3392,190.0
양천구,2016,6575328,10306,2438,46998,821,23,611,1787,3334,174.4
강서구,2016,12822578,20601,3493,47302,1112,19,399,2633,5456,119.8
구로구,2016,13728556,8178,7040,33866,783,21,511,1448,3736,103.4
금천구,2016,16910509,9229,4474,16000,535,27,817,1542,1595,106.4
영등포구,2016,30593679,7516,7314,26767,693,16,480,829,3282,159.9
동작구,2016,6124227,7573,2672,29441,590,23,536,1223,3184,139.8
관악구,2016,6125251,12597,5052,30850,926,29,885,1769,3561,121.4
서초구,2016,33516210,4673,1655,45095,565,6,114,748,3629,227.0
강남구,2016,69094027,10885,2036,50258,867,2,59,1230,4122,322.6
송파구,2016,24117344,9046,2814,57839,1039,16,419,1763,5500,159.6
강동구,2016,8262265,9494,2163,36098,806,20,499,1579,3293,158.9
종로구,2017,29054791,3620,1084,10541,265,12,282,406,689,150.3
중구,2017,55128878,3857,1207,7546,253,5,164,389,808,83.9
