"시점","자치구별(1)",자치구별(2),일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자,일반수급자
"시점","자치구별(1)",자치구별(2),소계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80세이상
"2012","합계",소계,188017,2817,5117,11478,19560,9447,2994,3205,5857,12033,15917,17461,13789,10434,13881,17596,12943,13488
"2012","합계",종로구,3057,33,67,164,220,99,38,43,91,189,259,278,246,196,307,351,231,245
"2012","합계",중구,3498,23,65,148,268,126,36,40,91,171,287,369,326,233,339,414,281,281
"2012","합계",용산구,4284,63,87,193,268,119,34,69,122,228,333,383,377,315,440,526,379,348
"2012","합계",성동구,5488,71,165,390,642,234,51,88,195,397,455,483,351,279,389,518,406,374
"2012","합계",광진구,4934,64,138,343,567,234,73,80,173,379,422,461,318,229,328,440,334,351
"2012","합계",동대문구,8372,92,188,464,761,338,119,117,254,507,674,775,649,544,801,941,609,539
"2012","합계",중랑구,9452,141,253,585,973,420,126,191,297,643,827,900,682,564,702,864,642,642
"2012","합계",성북구,8890,127,269,567,920,476,130,140,291,579,754,766,641,451,684,850,585,660
"2012","합계",강북구,10253,171,317,705,1152,521,157,179,320,735,902,889,692,554,763,889,650,657
"2012","합계",도봉구,5001,99,185,343,521,207,48,102,186,366,416,378,277,218,352,498,403,402
"2012","합계",노원구,20472,297,515,1182,2170,1263,431,432,643,1321,1706,2102,1620,1203,1310,1669,1221,1387
"2012","합계",은평구,9728,135,295,643,1163,531,108,139,306,629,777,782,653,498,768,908,705,688
"2012","합계",서대문구,4985,195,121,258,465,201,78,54,130,321,375,459,335,264,377,556,407,389
"2012","합계",마포구,6164,110,166,395,662,340,119,84,192,337,496,544,400,339,505,559,439,477
"2012","합계",양천구,6627,142,235,469,717,300,100,141,263,438,576,540,375,286,461,618,489,477
"2012","합계",강서구,17175,198,389,945,1769,1037,382,333,453,1075,1628,1892,1429,955,941,1321,1093,1335
"2012","합계",구로구,5676,87,168,388,613,230,74,80,177,382,474,471,376,282,404,599,457,414
"2012","합계",금천구,7418,131,232,485,819,340,99,105,232,518,679,684,495,392,542,712,514,439
"2012","합계",영등포구,7590,73,200,403,680,251,74,93,216,458,616,686,652,553,666,855,607,507
"2012","합계",동작구,5458,74,153,325,582,247,74,97,171,309,439,479,371,266,418,580,404,469
"2012","합계",관악구,10164,156,282,615,1115,606,174,165,357,691,851,941,697,533,700,922,655,704
"2012","합계",서초구,2818,56,71,139,257,191,60,54,76,164,218,225,241,160,225,257,194,230
"2012","합계",강남구,8504,100,211,452,823,527,220,181,233,408,680,904,786,558,619,710,488,604
"2012","합계",송파구,5873,89,181,444,702,317,108,108,189,398,503,527,394,263,403,481,341,425
"2012","합계",강동구,6136,90,164,433,731,292,81,90,199,390,570,543,406,299,437,558,409,444
"2013","합계",소계,190480,2854,4807,10268,18442,10035,3149,3210,5330,11247,15881,17705,15148,11014,14602,18209,14107,14472
"2013","합계",종로구,2957,27,57,134,195,102,36,37,77,140,243,277,271,192,300,375,243,251
"2013","합계",중구,3373,25,55,121,227,124,34,44,90,148,237,347,320,237,332,410,300,322
"2013","합계",용산구,4359,55,95,187,245,113,43,76,124,213,324,414,387,326,455,516,437,349
"2013","합계",성동구,5553,59,149,340,613,272,69,79,156,366,509,497,393,286,408,515,448,394
"2013","합계",광진구,4942,62,126,294,545,277,76,76,143,350,455,477,349,231,352,411,348,370
"2013","합계",동대문구,8635,105,181,403,726,342,116,116,240,454,704,759,719,579,855,1057,682,597
"2013","합계",중랑구,9105,123,222,480,873,388,113,168,250,555,785,874,755,528,743,864,678,706
"2013","합계",성북구,9519,149,276,548,924,550,140,150,299,579,795,812,754,490,729,919,681,724
"2013","합계",강북구,10826,180,316,654,1156,578,168,196,309,740,935,959,761,606,818,1003,742,705
"2013","합계",도봉구,5491,91,181,337,568,275,57,107,176,371,483,441,305,226,387,549,462,475
"2013","합계",노원구,20567,263,505,1046,1994,1325,479,404,627,1224,1694,2055,1770,1275,1344,1744,1360,1458
"2013","합계",은평구,10131,152,268,597,1118,561,140,140,281,592,795,842,698,551,869,972,782,773
"2013","합계",서대문구,5259,283,111,233,449,235,79,72,121,302,391,462,376,283,408,571,468,415
"2013","합계",마포구,6067,134,138,339,590,352,120,98,140,324,490,524,450,342,499,578,445,504
"2013","합계",양천구,6492,110,227,406,673,284,101,129,232,414,543,538,421,312,471,599,529,503
"2013","합계",강서구,17146,191,349,823,1579,1095,372,314,412,955,1537,1888,1603,1061,1018,1370,1179,1400
"2013","합계",구로구,5565,80,158,338,572,279,73,82,145,356,462,457,418,278,387,550,496,434
"2013","합계",금천구,7607,131,207,438,793,380,105,106,190,504,705,703,571,431,555,757,547,484
"2013","합계",영등포구,7283,54,170,339,601,231,78,101,194,400,592,661,671,557,698,813,600,523
"2013","합계",동작구,5514,73,149,287,540,248,84,103,158,295,408,493,411,272,442,624,432,495
"2013","합계",관악구,10231,131,258,549,1020,628,203,166,307,660,838,984,777,536,775,937,684,778
"2013","합계",서초구,3029,52,81,158,265,197,76,61,79,170,237,260,241,178,247,272,215,240
"2013","합계",강남구,8556,137,198,417,790,549,196,185,217,375,638,865,829,603,663,724,521,649
"2013","합계",송파구,5844,99,163,399,658,314,104,101,173,375,501,536,418,300,384,510,371,438
"2013","합계",강동구,6429,88,167,401,728,336,87,99,190,385,580,580,480,334,463,569,457,485
"2014","합계",소계,194808,3065,4617,9313,17296,10723,3469,3227,5170,10558,15675,18176,16859,12185,15497,18408,15100,15470
"2014","합계",종로구,2971,19,57,116,200,88,30,31,68,150,220,282,276,218,324,366,259,267
"2014","합계",중구,3203,28,38,100,194,113,29,46,65,127,227,310,328,255,323,371,317,332
"2014","합계",용산구,4521,54,80,183,248,124,46,62,124,207,321,428,422,371,483,530,448,390
"2014","합계",성동구,5517,55,120,286,544,300,94,67,144,325,509,494,445,310,415,521,461,427
"2014","합계",광진구,5188,73,125,280,542,306,89,71,146,320,488,503,421,266,377,423,353,405
"2014","합계",동대문구,8812,98,172,355,634,404,110,120,207,443,666,778,800,649,896,1053,777,650
"2014","합계",중랑구,9439,139,235,445,807,448,133,167,256,503,784,915,856,569,808,877,725,772
"2014","합계",성북구,9904,154,288,516,889,598,154,173,275,573,793,878,805,604,742,929,778,755
"2014","합계",강북구,11163,189,303,613,1065,601,181,190,322,694,918,1000,904,677,872,1057,823,754
"2014","합계",도봉구,5828,100,178,342,561,297,75,104,172,374,513,473,388,237,422,556,503,533
"2014","합계",노원구,20671,244,451,946,1848,1321,532,392,604,1124,1668,1995,1947,1384,1448,1794,1418,1555
"2014","합계",은평구,10389,143,280,540,1011,611,154,143,283,586,814,921,761,590,886,1012,844,810
"2014","합계",서대문구,5471,377,106,222,425,253,87,77,121,273,401,482,398,308,443,549,487,462
"2014","합계",마포구,6089,120,138,297,571,359,136,87,149,315,471,568,450,374,484,574,448,548
"2014","합계",양천구,6481,106,208,365,638,288,109,111,221,399,506,554,485,339,473,584,546,549
"2014","합계",강서구,17594,186,313,723,1522,1176,404,314,436,863,1491,1857,1808,1207,1148,1401,1285,1460
