"자치구별(1)","자치구별(2)",구분별(1),구분별(2),2015,2016,2017,2018,2019,2020,2021,2022,2023
"합계","소계",다문화가구 (가구),소계,64013,69054,66618,67790,69738,69790,71337,72949,74514
"합계","소계",다문화가구원 (명),소계,167836,188450,179426,183149,189010,187239,187022,190458,194025
"합계","소계",다문화가구원 (명),내국인(출생),91589,97490,91480,93868,97409,101818,101146,103655,106365
"합계","소계",다문화가구원 (명),내국인(귀화·인지),40297,40587,41441,41767,41928,43447,44471,45501,46374
"합계","소계",다문화가구원 (명),외국인(결혼이민자),27239,32988,31929,32513,33149,31527,30984,31692,31555
"합계","소계",다문화가구원 (명),외국인(기타),8711,17385,14576,15001,16524,10447,10421,9610,9731
"합계","종로구",다문화가구 (가구),소계,1331,1146,1084,1093,1115,1135,1160,1178,1208
"합계","종로구",다문화가구원 (명),소계,3241,2998,2954,2928,2976,3006,3057,3067,3095
"합계","종로구",다문화가구원 (명),내국인(출생),1660,1661,1579,1603,1631,1733,1780,1790,1810
"합계","종로구",다문화가구원 (명),내국인(귀화·인지),568,545,526,506,510,520,511,535,540
"합계","종로구",다문화가구원 (명),외국인(결혼이민자),756,579,596,608,611,622,611,612,598
"합계","종로구",다문화가구원 (명),외국인(기타),257,213,253,211,224,131,155,130,147
"합계","중구",다문화가구 (가구),소계,1156,1205,1207,1222,1282,1282,1311,1327,1365
"합계","중구",다문화가구원 (명),소계,2968,3136,3129,3224,3363,3375,3345,3372,3455
"합계","중구",다문화가구원 (명),내국인(출생),1647,1681,1603,1660,1765,1845,1811,1850,1924
"합계","중구",다문화가구원 (명),내국인(귀화·인지),620,605,634,625,653,673,668,672,688
"합계","중구",다문화가구원 (명),외국인(결혼이민자),530,611,636,652,659,643,659,675,660
"합계","중구",다문화가구원 (명),외국인(기타),171,239,256,287,286,214,207,175,183
"합계","용산구",다문화가구 (가구),소계,2110,2101,2065,2044,2070,2109,2148,2259,2256
"합계","용산구",다문화가구원 (명),소계,5499,5628,5457,5451,5613,5794,5731,6020,5998
"합계","용산구",다문화가구원 (명),내국인(출생),3378,3331,3164,3196,3372,3562,3489,3736,3714
"합계","용산구",다문화가구원 (명),내국인(귀화·인지),848,767,762,766,728,704,713,741,770
"합계","용산구",다문화가구원 (명),외국인(결혼이민자),1049,1225,1295,1279,1247,1324,1338,1364,1336
"합계","용산구",다문화가구원 (명),외국인(기타),224,305,236,210,266,204,191,179,178
"합계","성동구",다문화가구 (가구),소계,1985,2111,2175,2242,2162,2146,2140,2156,2120
"합계","성동구",다문화가구원 (명),소계,5108,5575,5805,6012,5802,5866,5671,5730,5625
"합계","성동구",다문화가구원 (명),내국인(출생),2947,3142,3239,3406,3342,3478,3379,3424,3381
"합계","성동구",다문화가구원 (명),내국인(귀화·인지),1135,1145,1167,1160,1081,1059,1028,1063,1059
"합계","성동구",다문화가구원 (명),외국인(결혼이민자),837,1027,1101,1161,1110,1127,1081,1066,1017
"합계","성동구",다문화가구원 (명),외국인(기타),189,261,298,285,269,202,183,177,168
"합계","광진구",다문화가구 (가구),소계,2586,2930,2783,2739,2761,2728,2715,2703,2745
"합계","광진구",다문화가구원 (명),소계,6336,7402,6977,6928,6999,6839,6635,6623,6742
