year,single_parent,basic_beneficiaries,multicultural_hh,academy_cnt,grdp,population,district_강남구,district_강동구,district_강북구,district_강서구,district_관악구,district_광진구,district_구로구,district_금천구,district_노원구,district_도봉구,district_동대문구,district_동작구,district_마포구,district_서대문구,district_서초구,district_성동구,district_성북구,district_송파구,district_양천구,district_영등포구,district_용산구,district_은평구,district_종로구,district_중구,district_중랑구,child_user
2023,267.731708399649,5487.607258511907,1157.6284224182118,171.667363147069,35536036.77279765,8778.07087558598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,260.30197
2024,248.88981834234266,5796.695557973547,1137.6091378526976,180.4634633794713,36818058.10459824,8533.17035402113,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,264.4775
2025,231.37394537525591,6123.193189474372,1117.9360539736506,189.71026884716156,38146330.477439225,8295.10234341601,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,264.4775
2026,215.0907697030706,6468.080729899951,1098.6031838081137,199.43087333076406,39522522.474162616,8063.676222673875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,265.3261
2027,199.95353900555054,6832.393986918184,1079.6046439180063,209.64955391799995,40948362.8744976,7838.706688860321,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,265.3261
2028,185.881606244833,7217.227109841258,1060.9346526096579,220.39183163540918,42425642.82676292,7620.013608831206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,273.60352
2029,172.79999999999998,7623.735875706219,1042.5875281743054,231.68453518679408,43956218.0979169,7407.421875000002,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,269.20068
2030,160.6390250397894,8053.141160443326,1024.5576871590188,243.55586795757048,45542011.40478184,7200.761265129126,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,256.38458
2023,330.2277850781324,6419.641671110308,1353.4117280039538,92.90470366778912,74864008.20508374,6464.550334855391,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,137.38747
2024,320.7364412870859,6828.798539429321,1380.3491375272408,95.79671435737748,77877702.7085486,6312.750911159962,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,146.37833
2025,311.51789588257896,7264.033084894394,1407.8226913862172,98.7787498304106,81012715.24958546,6164.5160145918135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,154.22374
2026,302.56430814560093,7727.007372346647,1435.8430606421985,101.8536124491562,84273929.55686136,6019.7619435575425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,156.54655
2027,293.86806271358626,8219.489398590407,1464.4211287462276,105.02419181001879,87666425.9564016,5878.406961929706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,157.14719
2028,285.4217631032626,8743.359843983491,1493.5679957663394,108.29346745903267,91195489.28573154,5740.3712528941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,163.06068
2029,277.2182254196642,9300.619254341167,1523.2949826989627,111.66451169188451,94866617.1266068,5605.576873880787,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,165.92923
2030,269.2504722459592,9893.395680579857,1553.6136358661313,115.14049244109773,98685528.36915694,5473.947712553426,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,165.92923
2023,501.04597565456515,9409.199876172359,2281.1278533994764,110.26849608780553,18633265.73149956,14251.158648361321,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,300.84344
2024,478.18489470406683,10018.449961498465,2303.4724584129717,114.92572050535337,19494334.005026426,13841.445022883097,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,300.84344
2025,456.3668897338565,10667.149274320507,2326.035938213545,119.77964425267287,20395193.401717555,13443.510457553206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,323.43616
2026,435.54436861550386,11357.852170538483,2348.820436771625,124.83857498747258,21337682.72289841,13057.016310331577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,332.16602
2027,415.67191069296507,12093.278401789596,2371.828119058732,130.1111712439824,22323725.74337711,12681.633674966039,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,331.3796
2028,396.70616770543614,12876.323824899458,2395.0611712531936,135.60645725233337,23355335.138183396,12317.04310109333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,331.3796
2029,378.6057692307691,13710.071804775285,2418.5218009478676,141.3338383838383,24434616.590767417,11962.93432238706,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,337.64056
2030,361.331232443196,14597.805355641705,2442.2122373599136,147.3031172486088,25563773.091043968,11619.005992521286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,341.47455
2023,529.4098259809423,10527.361424719711,2181.602631132783,164.21667957681075,17852258.28436729,17977.39351477985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,409.72516
2024,488.2835607058738,11053.793992287716,2207.509295067477,173.08804782562856,19025546.147914533,17532.09708067965,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,403.273
2025,450.35211655514206,11606.551413445859,2233.723602212098,182.4386680895824,20275944.95108742,17097.830550000057,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,420.39978
