"자치구(1)",2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"자치구(1)",합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자,합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자
"자치구(1)",소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계,소계,소계,소계,소계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,소계,소계,소계,소계
"자치구(1)",가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명),가구수 (가구),가구원수 (명)
"계",32079,82094,21756,55305,21710,55195,46,110,...,...,10322,26787,1,2,33876,87595,22392,57701,22350,57625,42,76,...,...,11484,29894,...,...,37845,97913,26227,67295,26106,67058,121,237,...,...,11617,30615,1,3,39751,104727,27469,71365,27226,70828,243,537,12281,33359,1,3,40497,106352,27522,71691,27450,71619,72,72,12975,34661,39912,97114,25152,61256,25059,61163,93,93,14760,35858,39138,92913,11555,40478,11450,40373,105,105,27583,52435,36178,85225,10177,36238,10058,36119,119,119,26001,48987,34824,81703,9590,32754,9481,32645,109,109,25234,48949,32407,75457,8135,26778,8053,26696,82,82,24272,48679,31425,72671,6140,20501,6068,20429,72,72,-,-,25285,52170,-,-,29486,67828,4454,15050,4407,15003,47,47,-,-,25032,52778,-,-,28261,65030,4121,13718,4096,13693,25,25,-,-,24140,51312,-,-,27758,63970,3914,12804,3885,12775,29,29,-,-,23844,51166,-,-
"종로구",408,1049,294,738,294,738,...,...,...,...,113,309,1,2,412,1110,315,794,315,794,...,...,...,...,97,316,...,...,462,1193,312,794,312,794,-,-,...,...,150,399,-,-,498,1302,367,952,358,935,9,17,131,350,-,-,502,1283,356,910,344,898,12,12,146,373,480,1168,333,813,321,801,12,12,147,355,454,1087,187,582,178,573,9,9,267,505,406,958,159,493,152,486,7,7,247,465,391,923,154,470,152,468,2,2,237,453,367,855,140,415,138,413,2,2,227,440,334,763,114,332,112,330,2,2,-,-,220,431,-,-,310,693,96,268,94,266,2,2,-,-,214,425,-,-,288,657,73,210,73,210,-,-,-,-,215,447,-,-,266,618,59,174,59,174,-,-,-,-,207,444,-,-
"중구",479,1220,349,865,349,865,...,...,...,...,130,355,...,...,596,1375,373,924,373,924,...,...,...,...,223,451,...,...,530,1357,354,892,354,892,-,-,...,...,176,465,-,-,479,1217,332,842,332,842,-,-,147,375,-,-,467,1183,332,843,332,843,-,-,135,340,417,976,280,662,280,662,-,-,137,314,409,938,114,411,114,411,-,-,295,527,389,899,119,408,119,408,-,-,270,491,371,850,103,363,103,363,-,-,268,487,365,815,93,330,93,330,-,-,272,485,360,813,94,313,94,313,-,-,-,-,266,500,-,-,335,746,72,233,70,231,2,2,-,-,263,513,-,-,340,745,65,222,65,222,-,-,-,-,275,523,-,-,325,725,73,232,73,232,-,-,-,-,252,493,-,-
"용산구",521,1350,321,821,308,789,13,32,...,...,200,529,...,...,470,1081,369,860,358,837,11,23,...,...,101,221,...,...,367,899,323,789,316,774,7,15,...,...,44,110,-,-,658,1687,467,1191,439,1121,28,70,191,496,-,-,682,1693,436,1125,429,1118,7,7,246,568,728,1657,438,1053,430,1045,8,8,290,604,732,1628,185,669,185,669,-,-,547,959,692,1528,188,646,184,642,4,4,504,882,668,1454,176,567,174,565,2,2,492,887,621,1333,169,492,167,490,2,2,452,841,586,1239,116,341,116,341,-,-,-,-,470,898,-,-,557,1152,85,253,85,253,-,-,-,-,472,899,-,-,525,1080,69,214,69,214,-,-,-,-,456,866,-,-,524,1065,59,177,58,176,1,1,-,-,465,888,-,-
"성동구",953,2441,592,1334,592,1334,...,...,...,...,361,1107,...,...,1042,2655,612,1517,612,1517,...,...,...,...,430,1138,...,...,1079,3207,701,1772,701,1772,-,-,...,...,378,1435,-,-,1095,2900,728,1875,728,1875,-,-,367,1025,-,-,1031,2728,690,1799,690,1799,-,-,341,929,1011,2497,626,1536,626,1536,-,-,385,961,970,2298,244,904,243,903,1,1,726,1394,901,2109,240,866,236,862,4,4,661,1243,882,2006,240,802,223,785,17,17,642,1204,804,1843,207,672,197,662,10,10,597,1171,750,1691,159,513,147,501,12,12,-,-,591,1178,-,-,640,1448,100,350,88,338,12,12,-,-,540,1098,-,-,574,1302,100,318,92,310,8,8,-,-,474,984,-,-,570,1290,102,299,92,289,10,10,-,-,468,991,-,-
"광진구",1249,3164,1036,2568,1036,2568,...,...,...,...,213,596,...,...,1374,3529,1015,2587,1015,2587,...,...,...,...,359,942,...,...,1512,3835,1238,3105,1238,3105,-,-,...,...,274,730,-,-,1513,3916,1155,2954,1153,2950,2,4,358,962,-,-,1557,4047,1189,3055,1189,3055,-,-,368,992,1511,3703,1078,2609,1078,2609,-,-,433,1094,1515,3616,465,1698,463,1696,2,2,1050,1918,1376,3258,361,1443,361,1443,-,-,1015,1815,1335,3152,359,1318,359,1318,-,-,976,1834,1191,2818,288,1033,288,1033,-,-,903,1785,1218,2862,252,871,252,871,-,-,-,-,966,1991,-,-,1111,2605,170,582,170,582,-,-,-,-,941,2023,-,-,1076,2515,142,505,142,505,-,-,-,-,934,2010,-,-,1048,2444,143,511,143,511,-,-,-,-,905,1933,-,-
