"행정구역별","성별",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"행정구역별","성별",출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수,출생건수
"전국","계",451759,496822,465892,444849,470171,471265,484550,436455,435435,438420,406243,357771,326822,302676,272337,260562,249186,230028,238317
"서울특별시","계",93922,101249,94736,89594,93266,91526,93914,84066,83711,83005,75536,65389,58074,53673,47445,45531,42602,39456,41605
"종로구","계",1139,1204,1176,1095,1107,1103,1100,873,905,906,846,689,644,673,529,528,464,396,437
"중구","계",1122,1276,1141,1052,1170,1105,1215,1022,1041,950,959,808,733,783,690,627,587,534,612
"용산구","계",2161,2449,2332,2159,2312,2309,2411,2129,1976,1967,1708,1464,1377,1314,1176,1234,1110,1012,1045
"성동구","계",3459,3762,3372,2823,2886,2776,2835,2838,2654,2753,2531,2462,2346,2191,1945,1833,1690,1483,1666
"광진구","계",3566,3714,3479,3258,3366,3184,3319,2990,3011,2951,2767,2347,2197,1957,1532,1484,1278,1231,1263
"동대문구","계",3181,3360,3236,2879,2880,2947,2963,2651,2634,2687,2383,2117,1886,1884,1702,1585,1475,1359,1441
"중랑구","계",3673,3882,3711,3495,3570,3450,3659,3265,3288,3368,3085,2744,2446,2244,1873,1825,1860,1762,1733
"성북구","계",4397,4845,4415,4218,4409,4414,4217,3831,3537,3514,3060,2631,2264,2147,2041,1939,1896,1695,1710
"강북구","계",2774,3131,2858,2784,2801,2789,2818,2491,2360,2164,1965,1772,1344,1227,1049,994,855,826,751
"도봉구","계",3115,3297,3035,3030,3158,3005,3083,2530,2553,2481,2249,1906,1707,1483,1218,1136,1092,971,1046
"노원구","계",5867,6232,5721,5178,5298,5063,5296,4668,4715,4462,4176,3494,2851,2604,2252,2225,2246,2091,2063
"은평구","계",4236,4406,3856,3804,4095,4318,4654,4157,4085,3870,3522,2930,2703,2407,2144,2076,2072,1748,1837
"서대문구","계",3032,3277,2937,2602,2713,2368,2470,2358,2334,2175,2201,1911,1647,1521,1533,1426,1363,1301,1411
"마포구","계",4134,4574,4144,3735,3824,3859,3797,3320,3373,3626,3392,2812,2528,2334,2015,1959,1761,1571,1721
"양천구","계",4120,4486,4110,3673,3678,3727,3869,3547,3527,3526,3334,2876,2387,2222,1875,1827,1682,1449,1588
"강서구","계",5599,6095,5979,5740,5720,5753,5875,5224,5424,5812,5456,4800,4260,3841,3345,3006,2865,2635,2793
"구로구","계",4699,5014,4883,4560,4770,4633,4936,4468,4279,4257,3736,3139,2658,2460,2269,2229,2057,1937,2110
"금천구","계",2361,2317,2102,1978,2002,1927,2077,1739,1820,1885,1595,1498,1314,1154,1092,1012,1004,963,884
"영등포구","계",4526,4896,4453,4119,4288,4050,4050,3448,3480,3611,3282,2805,2698,2633,2296,2402,2262,2163,2174
"동작구","계",4201,4360,4044,3829,3846,3837,3883,3712,3765,3643,3184,2814,2417,2227,2044,1831,1696,1695,1793
"관악구","계",5258,5703,5306,4836,4738,4729,4596,4140,4071,3960,3561,2931,2582,2245,1905,1707,1615,1489,1521
"서초구","계",3655,3911,3846,3746,4403,4190,4439,4081,4135,4078,3629,3039,2919,2512,2238,2163,1864,1687,1858
"강남구","계",4374,4893,4586,4388,4836,4761,4903,4551,4654,4595,4122,3456,2940,2749,2356,2204,1996,2296,2614
"송파구","계",5392,5955,5995,6363,6750,6574,6859,5963,6001,5899,5500,4976,4567,4424,3791,3469,3284,2968,3166
"강동구","계",3881,4210,4019,4250,4646,4655,4590,4070,4089,3865,3293,2968,2659,2437,2535,2810,2528,2194,2368
