checkpoint,step,loss
checkpoint-100,1,1.1195
checkpoint-100,2,1.3653
checkpoint-100,3,1.2226
checkpoint-100,4,1.1699
checkpoint-100,5,1.1524
checkpoint-100,6,1.1244
checkpoint-100,7,1.2815
checkpoint-100,8,1.0295
checkpoint-100,9,1.0391
checkpoint-100,10,1.156
checkpoint-100,11,1.4146
checkpoint-100,12,0.9349
checkpoint-100,13,1.0631
checkpoint-100,14,1.0353
checkpoint-100,15,1.0264
checkpoint-100,16,0.8815
checkpoint-100,17,0.9954
checkpoint-100,18,1.1243
checkpoint-100,19,1.0858
checkpoint-100,20,1.0245
checkpoint-100,21,1.231
checkpoint-100,22,1.1584
checkpoint-100,23,1.0932
checkpoint-100,24,1.0738
checkpoint-100,25,1.0597
checkpoint-100,26,1.0184
checkpoint-100,27,1.0452
checkpoint-100,28,1.1896
checkpoint-100,29,1.0358
checkpoint-100,30,1.1475
checkpoint-100,31,1.0854
checkpoint-100,32,1.0066
checkpoint-100,33,1.3475
checkpoint-100,34,1.1065
checkpoint-100,35,0.9722
checkpoint-100,36,1.1221
checkpoint-100,37,1.0334
checkpoint-100,38,1.15
checkpoint-100,39,1.0027
checkpoint-100,40,1.0497
checkpoint-100,41,0.9995
checkpoint-100,42,0.941
checkpoint-100,43,1.1565
checkpoint-100,44,1.1186
checkpoint-100,45,1.1118
checkpoint-100,46,0.9876
checkpoint-100,47,1.3152
checkpoint-100,48,1.057
checkpoint-100,49,0.8358
checkpoint-100,50,1.0848
checkpoint-100,51,1.1362
checkpoint-100,52,0.9764
checkpoint-100,53,1.0657
checkpoint-100,54,1.1368
checkpoint-100,55,0.9205
checkpoint-100,56,1.2212
checkpoint-100,57,0.9717
checkpoint-100,58,1.0985
checkpoint-100,59,1.0261
checkpoint-100,60,0.9306
checkpoint-100,61,1.0418
checkpoint-100,62,1.0275
checkpoint-100,63,1.0682
checkpoint-100,64,1.1245
checkpoint-100,65,1.0041
checkpoint-100,66,1.0952
checkpoint-100,67,0.9987
checkpoint-100,68,0.9293
